Nom,latitude,longitude,code_postal
COULEUVRE,46.674034242,2.896552647,03320
CREUZIER LE VIEUX,46.160546322,3.434197222,03300
CUSSET,46.137529368,3.482821444,03300
DROITURIER,46.226568049,3.705063452,03120
ECHASSIERES,46.195825658,2.945619443,03330
FLEURIEL,46.287034886,3.160985836,03140
GENNETINES,46.629902153,3.405195464,03400
GIPCY,46.51134142,3.051478785,03210
ISLE ET BARDAIS,46.682153296,2.776783019,03360
JALIGNY SUR BESBRE,46.377275294,3.589013279,03220
LAPRUGNE,45.993756975,3.762806236,03250
LETELON,46.656395709,2.594862966,03360
LIERNOLLES,46.398593385,3.768585405,03130
LIMOISE,46.683838177,3.054886756,03320
LOUROUX BOURBONNAIS,46.534565165,2.839185546,03350
MARIGNY,46.579143603,3.209827618,03210
MEAULNE VITRAY,46.607916579,2.653376142,03360
MONETAY SUR LOIRE,46.435502574,3.824171209,03470
MONTCOMBROUX LES MINES,46.360740654,3.727885139,03130
MONTORD,46.289768724,3.240044652,03500
MURAT,46.411068938,2.903986466,03390
NASSIGNY,46.497763791,2.59409328,03190
NERIS LES BAINS,46.299447273,2.675770609,03310
NEUILLY LE REAL,46.466758871,3.436954894,03340
NOYANT D ALLIER,46.479583584,3.118364554,03210
POUZY MESANGY,46.70512838,3.007278649,03320
REUGNY,46.458374884,2.612909244,03190
ST ELOY D ALLIER,46.496855563,2.363148337,03370
ST LEOPARDIN D AUGY,46.698165321,3.105697757,03160
ST MARCEL EN MARCILLAT,46.152855264,2.580623991,03420
ST MARTIN DES LAIS,46.674246527,3.656397185,03230
ST PLAISIR,46.62437304,2.955747865,03160
ST POURCAIN SUR SIOULE,46.304647124,3.305875386,03500
ST SAUVIER,46.396744057,2.332359533,03370
SORBIER,46.361336452,3.657487574,03220
TARGET,46.285039032,3.047720144,03140
TEILLET ARGENTY,46.262614973,2.516940148,03410
TERJAT,46.214947327,2.61916688,03420
LE THEIL,46.356313025,3.125553941,03240
TREVOL,46.63727968,3.316073994,03460
USSEL D ALLIER,46.210162099,3.189524356,03140
VAUMAS,46.448513399,3.624772114,03220
VILLEFRANCHE D ALLIER,46.396267301,2.840966961,03430
VILLENEUVE SUR ALLIER,46.674349681,3.250480834,03460
YGRANDE,46.549998686,2.942537496,03160
ALLOS,44.26188021,6.626633132,04260
ANNOT,43.962040954,6.663525802,04240
AUBIGNOSC,44.118653848,5.958246498,04200
AUZET,44.305330708,6.310897275,04140
BARCELONNETTE,44.379016563,6.651674481,04400
BAYONS,44.325166073,6.172891445,04250
BELLAFFAIRE,44.404191941,6.194438419,04250
BEVONS,44.177651942,5.879434005,04200
LE CAIRE,44.37433891,6.06896198,04250
CASTELLANE,43.844877027,6.490135474,04120
LE CASTELLARD MELAN,44.202119682,6.131282474,04380
LE CHAFFAUT ST JURSON,44.023005032,6.141059648,04510
CHATEAU ARNOUX ST AUBAN,44.085162023,5.992381899,04160
CHATEAUNEUF VAL ST DONAT,44.095475506,5.931054412,04200
CHATEAUREDON,44.026463243,6.224593363,04270
CLARET,44.374065284,5.965022565,05110
CLUMANC,44.022015551,6.377560932,04330
COLMARS,44.172437764,6.66168455,04370
LA CONDAMINE CHATELARD,44.462514712,6.696740237,04530
CRUIS,44.082753583,5.838310996,04230
DAUPHIN,43.893280114,5.77638145,04300
DRAIX,44.130158879,6.371340691,04420
ENTRAGES,44.038097556,6.268584989,04000
ENTREVAUX,43.950230255,6.801961931,04320
LA GARDE,43.829829243,6.571316881,04120
JAUSIERS,44.387641542,6.786576163,04850
LURS,43.969893351,5.88003029,04700
VAL D ORONAYE,44.444385669,6.849917188,04530
MISON,44.262816876,5.865334108,04200
MONTAGNAC MONTPEZAT,43.766551128,6.094529059,04500
MONTFORT,44.058584917,5.952291264,04600
MONTLAUX,44.040872354,5.85031387,04230
MORIEZ,43.963722009,6.462647043,04170
MOUSTIERS STE MARIE,43.838178021,6.228174277,04360
PEYRUIS,44.035747847,5.90499936,04310
PIEGUT,44.453184157,6.131485794,05130
PIERRERUE,43.962462841,5.835882579,04300
PIERREVERT,43.806506526,5.722192402,04860
PUIMICHEL,43.979161836,6.025008509,04700
MEOLANS REVEL,44.371302704,6.498137082,04340
REVEST DU BION,44.093859821,5.540549029,04150
ST ANDRE LES ALPES,43.971540112,6.501416781,04170
STE CROIX DU VERDON,43.76430696,6.151769775,04500
ST MICHEL L OBSERVATOIRE,43.909537513,5.720175386,04870
ST PAUL SUR UBAYE,44.559030893,6.820763507,04530
SENEZ,43.922554623,6.368099674,04270
